co,d,h,idx,no2,o3,p,pm10,pm25,so2,t,timestamp,w
50,-8,80,477,76,4,1027,130,492,16,-5,1483214400,1
43,-8,80,474,40,1,1027,180,356,7,-5,1483214400,1
50,-8,80,479,71,1,1027,400,485,12,-5,1483214400,1
43,-8,80,478,82,2,1027,117,468,9,-5,1483214400,1
51,-8,80,476,78,1,1027,142,487,6,-5,1483214400,1
43,-8,80,467,44,1,1027,153,266,8,-5,1483214400,1
59,-8,80,480,69,2,1027,91,453,7,-5,1483214400,1
52,-8,80,460,53,3,1027,295,406,2,-5,1483214400,1
43,-8,80,461,68,1,1027,392,490,11,-5,1483214400,1
43,-8,80,454,69,2,1027,197,391,3,-5,1483214400,1
44,-8,80,456,60,1,1027,433,492,7,-5,1483214400,1
50,-8,80,464,75,3,1027,334,440,16,-5,1483214400,1
50,-8,80,458,49,2,1027,415,490,5,-5,1483214400,1
46,-8,80,459,50,3,1027,387,492,5,-5,1483214400,1
46,-8,80,455,63,4,1027,453,497,7,-5,1483214400,1
48,-8,80,453,81,2,1027,170,313,5,-5,1483214400,1
7,6,76,482,43,5,1029,53,107,10,10,1483214400,4
7,6,76,484,60,6,1029,76,169,9,10,1483214400,2
10,6,76,488,36,3,1029,51,127,6,10,1483214400,4
8,6,76,481,33,10,1029,50,107,7,10,1483214400,4
7,6,76,486,41,12,1029,45,107,9,10,1483214400,4
5,6,76,489,32,6,1029,42,99,8,10,1483214400,4
7,6,76,3304,44,6,1029,50,112,8,10,1483218000,4
7,6,76,483,44,5,1029,50,117,8,10,1483214400,2
9,6,76,485,38,5,1029,37,89,9,10,1483214400,2
9,6,76,487,44,4,1029,57,93,9,10,1483214400,2
6,6,76,490,37,7,1029,41,89,9,10,1483214400,2
10,9,52,931,18,25,1022,72,158,5,19,1483214400,3
13,9,52,916,102,7,1022,113,178,10,19,1483214400,3
10,9,52,924,28,38,1022,71,151,7,19,1483214400,3
8,12,60,3928,59,8,1021,80,159,9,20,1483214400,3
7,9,52,914,11,39,1022,51,119,4,19,1483214400,3
11,12,60,2572,64,13,1021,57,133,3,20,1483210800,3
9,12,60,2568,49,2,1021,79,165,6,20,1483214400,3
7,12,60,2570,50,12,1021,53,118,5,20,1483214400,3
9,12,60,2571,51,18,1021,43,85,3,20,1483214400,3
10,9,52,921,18,30,1022,52,119,3,19,1483214400,3
12,9,52,928,24,30,1022,63,152,5,19,1483214400,3
10,9,52,926,19,49,1022,66,134,7,19,1483210800,3
11,9,52,920,82,14,1022,107,163,11,19,1483214400,3
9,9,52,925,28,42,1022,71,152,4,19,1483214400,3
9,9,52,927,78,20,1022,85,162,9,19,1483214400,3
7,9,52,922,21,26,1022,57,129,3,19,1483214400,3
6,12,60,2569,49,19,1021,77,107,7,20,1483214400,3
8,12,60,2566,7,45,1021,40,69,7,20,1483214400,3
10,12,60,2567,61,16,1021,62,151,8,20,1483214400,3
44,-11,36,449,101,3,1026,419,466,15,3,1483196400,2
52,-9,41,447,102,3,1026,432,474,10,3,1483200000,2
23,-9,41,3303,49,5,1026,114,410,14,3,1483200000,2
47,-9,41,448,97,2,1026,368,458,16,3,1483200000,2
42,-9,41,452,100,4,1026,256,405,16,3,1483200000,2
53,-9,41,451,96,5,1026,383,453,13,3,1483200000,2
34,-9,41,469,78,4,1026,178,332,21,3,1483200000,2
48,-9,41,450,101,5,1026,252,420,13,3,1483200000,2
38,-9,41,463,77,1,1026,185,350,22,3,1483200000,2
46,-9,41,457,95,2,1026,395,442,20,3,1483200000,2
24,-9,41,462,63,7,1026,112,212,20,3,1483200000,2
15,-9,41,466,39,8,1026,94,181,13,3,1483200000,2
34,-10,48,477,73,5,1028,130,323,23,0,1483110000,2
16,-10,48,474,28,10,1028,154,316,17,0,1483110000,2
41,-10,48,479,79,2,1028,187,362,17,0,1483110000,2
25,-10,48,478,55,4,1028,117,204,14,0,1483110000,2
33,-10,48,476,72,3,1028,142,277,13,0,1483110000,2
24,-10,48,480,52,3,1028,91,191,16,0,1483110000,2
42,-10,48,460,70,4,1028,205,360,11,0,1483110000,2
34,-10,48,461,69,4,1028,196,377,16,0,1483110000,2
12,-10,48,454,25,7,1028,80,178,6,0,1483110000,2
34,-10,48,456,71,3,1028,161,279,12,0,1483110000,2
26,-10,48,464,57,5,1028,133,217,12,0,1483110000,2
